,ztfname,File Name,Dereddened File Name,Date of spectrum,MJD of spectrum,t0,Phase of spectrum,t0_err,z,z_err,x1,x1_err,MWEBV,MWEBV_err,SN Type,SN Sub Type
65,ZTF20aaumsrr,ZTF20aaumsrr_20200409_Other_0.ascii,ZTF20aaumsrr_20200409_Other_0_dereddened.csv,20200409,58948.0,58954.54665382,-6.546653819998028,0.14728886,0.00733461,0.0,-1.92381512,0.06361995,0.01628323,0.0,snia-cosmo,norm
66,ZTF20aaurhzc,ZTF20aaurhzc_20200417_SEDm_0.ascii,ZTF20aaurhzc_20200417_SEDm_0_dereddened.csv,20200417,58956.0,58962.38850293,-6.388502929999959,0.27599155,0.03326635,0.0,-2.95159247,0.19983495,0.05709071,0.0,snia-cosmo,norm
67,ZTF20aavnnat,ZTF20aavnnat_20200424_SEDm_0.ascii,ZTF20aavnnat_20200424_SEDm_0_dereddened.csv,20200424,58963.0,58974.27078621,-11.270786209999642,0.04018472,0.03219172,0.0,-2.12960522,0.03705243,0.01037317,0.0,snia-cosmo,norm
68,ZTF20aavrloz,ZTF20aavrloz_20200425_SEDm_0.ascii,ZTF20aavrloz_20200425_SEDm_0_dereddened.csv,20200425,58964.0,58974.38350267,-10.383502670003509,0.03949405,0.04337762,0.0,-1.842232,0.04685857,0.01393334,0.0,snia-cosmo,norm
69,ZTF20aavxraf,ZTF20aavxraf_20200310_LCO-FLOYDS_0.ascii,ZTF20aavxraf_20200310_LCO-FLOYDS_0_dereddened.csv,20200310,58918.0,58933.29999493,-15.29999492999923,5.86753671,0.02439438,0.0,-1.91270793,1.42088294,0.01211844,0.0,snia-cosmo,norm
70,ZTF20aaymbjk,ZTF20aaymbjk_20200509_SEDm_0.ascii,ZTF20aaymbjk_20200509_SEDm_0_dereddened.csv,20200509,58978.0,58984.81150148,-6.811501479998697,0.18382599,0.02766247,0.0,-2.11236845,0.14157427,0.11265178,0.0,snia-cosmo,norm
71,ZTF20aazgtmp,ZTF20aazgtmp_20200516_SEDm_0.ascii,ZTF20aazgtmp_20200516_SEDm_0_dereddened.csv,20200516,58985.0,58993.14482757,-8.144827570002235,0.15940629,0.02370821,0.0,-1.52470518,0.11463172,0.02646858,0.0,snia-cosmo,norm
72,ZTF20aazhzna,ZTF20aazhzna_20200516_SEDm_0.ascii,ZTF20aazhzna_20200516_SEDm_0_dereddened.csv,20200516,58985.0,58991.90999909,-6.909999089999474,0.1196097,0.03656528,0.0,-2.60114253,0.16637124,0.01841972,0.0,snia-cosmo,norm
73,ZTF20aazkxcw,ZTF20aazkxcw_20200512_SEDm_1.ascii,ZTF20aazkxcw_20200512_SEDm_1_dereddened.csv,20200512,58981.0,58989.92959634,-8.92959633999999,0.1429669,0.03527774,0.0,-1.73851466,0.10502449,0.04601205,0.0,snia-cosmo,norm
74,ZTF20abaunmw,ZTF20abaunmw_20200525_LCO-FLOYDS_0.ascii,ZTF20abaunmw_20200525_LCO-FLOYDS_0_dereddened.csv,20200525,58994.0,58999.36476736,-5.36476735999895,0.15858124,0.00869363,0.0,-2.53413659,0.16142378,0.01189733,0.0,snia-pec,iax
75,ZTF20abavxpk,ZTF20abavxpk_20200525_SEDm_0.ascii,ZTF20abavxpk_20200525_SEDm_0_dereddened.csv,20200525,58994.0,58999.75054328,-5.750543280002603,0.15339948,0.03018042,0.0,-1.8341825,0.16620693,0.04447752,0.0,snia-cosmo,norm
76,ZTF20abazekd,ZTF20abazekd_20200523_SEDm_0.ascii,ZTF20abazekd_20200523_SEDm_0_dereddened.csv,20200523,58992.0,58998.49292183,-6.49292183000216,0.16254224,0.05443432,0.0,-1.758141,0.11677315,0.09440713,0.0,snia-cosmo,norm
77,ZTF20abeeahl,ZTF20abeeahl_20200609_SEDm_0.ascii,ZTF20abeeahl_20200609_SEDm_0_dereddened.csv,20200609,59009.0,59016.60857376,-7.608573760000581,0.07144778,0.04888182,0.0,-1.73061485,0.05690926,0.03075748,0.0,snia-cosmo,norm
78,ZTF20abeeytg,ZTF20abeeytg_20200613_SEDm_0.ascii,ZTF20abeeytg_20200613_SEDm_0_dereddened.csv,20200613,59013.0,59020.35767431,-7.357674309998401,0.13900014,0.0427352,0.0,-1.60017406,0.1226832,0.01206656,0.0,snia-cosmo,norm
79,ZTF20abfhway,ZTF20abfhway_20200619_SEDm_0.ascii,ZTF20abfhway_20200619_SEDm_0_dereddened.csv,20200619,59019.0,59024.9266484,-5.926648400003614,0.17972876,0.04693154,0.0,-2.57151703,0.19320687,0.03613885,0.0,snia-cosmo,norm
80,ZTF20abfsemq,ZTF20abfsemq_20200622_SEDm_0.ascii,ZTF20abfsemq_20200622_SEDm_0_dereddened.csv,20200622,59022.0,59028.09623404,-6.096234040000127,0.19647344,0.04745839,0.0,-2.19527658,0.11821326,0.03475584,0.0,snia-cosmo,norm
81,ZTF20abijfqq,ZTF20abijfqq_20200625_LT_0.ascii,ZTF20abijfqq_20200625_LT_0_dereddened.csv,20200625,59025.0,59044.85977498,-19.85977498000284,0.20276874,0.0028543,0.0,-1.5524261,0.24495477,0.02622655,0.0,snia-cosmo,norm
82,ZTF20abjapav,ZTF20abjapav_20200630_LT_0.ascii,ZTF20abjapav_20200630_LT_0_dereddened.csv,20200630,59030.0,59035.4466533,-5.446653300001344,0.24703694,0.03373047,0.0,-2.65374668,0.24134385,0.033774,0.0,snia-pec,91bg
83,ZTF20abjfufv,ZTF20abjfufv_20200917_Keck_0.ascii,ZTF20abjfufv_20200917_Keck_0_dereddened.csv,20200917,59109.0,59114.4941136,-5.494113599997945,0.07728298,0.03129,0.0,-1.885684,0.08423078,0.06301471,0.0,snia-cosmo,norm
84,ZTF20abjfufv,ZTF20abjfufv_20200917_SEDm_0.ascii,ZTF20abjfufv_20200917_SEDm_0_dereddened.csv,20200917,59109.0,59114.4941136,-5.494113599997945,0.07728298,0.03129,0.0,-1.885684,0.08423078,0.06301471,0.0,snia-cosmo,norm
85,ZTF20ableiem,ZTF20ableiem_20200717_SEDm_0.ascii,ZTF20ableiem_20200717_SEDm_0_dereddened.csv,20200717,59047.0,59054.33892175,-7.338921750000736,0.07528125,0.01560413,0.0,-1.62835196,0.05929531,0.04926487,0.0,snia-cosmo,norm
86,ZTF20abmoans,ZTF20abmoans_20200722_SEDm_0.ascii,ZTF20abmoans_20200722_SEDm_0_dereddened.csv,20200722,59052.0,59059.56180845,-7.56180845000199,0.09190691,0.03108456,0.0,-2.58629398,0.16835014,0.01484375,0.0,snia-cosmo,norm
87,ZTF20abpsbyg,ZTF20abpsbyg_20200804_SEDm_0.ascii,ZTF20abpsbyg_20200804_SEDm_0_dereddened.csv,20200804,59065.0,59070.99332173,-5.99332172999857,0.11670465,0.0522197,0.0,-1.55887896,0.13107557,0.06806557,0.0,snia-cosmo,norm
88,ZTF20abqbzuv,ZTF20abqbzuv_20200804_SEDm_0.ascii,ZTF20abqbzuv_20200804_SEDm_0_dereddened.csv,20200804,59065.0,59075.2213317,-10.2213316999987,0.09453347,0.02657839,0.0,-2.30667031,0.09331467,0.02676835,0.0,snia-cosmo,norm/04gs
89,ZTF20abqmtsh,ZTF20abqmtsh_20200811_SEDm_0.ascii,ZTF20abqmtsh_20200811_SEDm_0_dereddened.csv,20200811,59072.0,59078.57243382,-6.572433820001606,0.08909916,0.02495727,0.0,-2.25725552,0.14485702,0.1580694,0.0,snia-cosmo,norm
90,ZTF20abquppg,ZTF20abquppg_20200814_P200_0.ascii,ZTF20abquppg_20200814_P200_0_dereddened.csv,20200814,59075.0,59080.00994427,-5.009944270001142,0.07132528,0.05733816,0.0,-1.78038125,0.09077266,0.06859411,0.0,snia-cosmo,norm
91,ZTF20abqvsik,ZTF20abqvsik_20200811_NOT_0.ascii,ZTF20abqvsik_20200811_NOT_0_dereddened.csv,20200811,59072.0,59080.0,-8.0,0.34512759,0.00245848,0.0,-5.0,0.4741034,0.02539653,0.0,snia-cosmo,norm
