filename,ztfname,phase,V_Sil_5972_median,pEW_Sil_5972_median_trap,FWHMA_Sil_5972_median,V_sil_5972_err_final_low,V_sil_5972_err_final_high,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final,est_pEW_5972,New_Type
ZTF18absyyig_20180908_SEDm_0.ascii,ZTF18absyyig,-0.0306334582874691,,,,,,,,,,6.647,normal
ZTF18abtfrbf_20180915_Lick-3m_0.ascii,ZTF18abtfrbf,-1.14842393052149,-1.007,25.322,89.473,0.021,0.021,1.021,1.264,2.688,3.429,,normal
ZTF18abtfvsk_20180908_SEDm_0.ascii,ZTF18abtfvsk,2.46144306836682,,,,,,,,,,3.052,normal
ZTF18abtgnky_20180819_NTT_0.ascii,ZTF18abtgnky,3.29704218277527,-1.06,16.745,94.115,0.021,0.021,0.937,0.623,3.099,2.79,,normal
ZTF18abtgtpn_20180804_NTT_0.ascii,ZTF18abtgtpn,-3.37468185636567,-1.104,28.499,111.829,0.021,0.02,2.251,0.81,4.614,3.37,,normal
ZTF18abtqevs_20180913_P200_0.ascii,ZTF18abtqevs,1.57238617353291,,,,,,,,,,5.081,SN Ia
ZTF18abucvbf_20180922_SEDm_0.ascii,ZTF18abucvbf,-1.9806517639573,-0.821,4.468,128.313,0.025,0.022,0.379,0.494,5.393,12.006,,normal
ZTF18abuykiz_20180812_SNIFS_0.ascii,ZTF18abuykiz,0.0457501522282895,-1.058,16.724,93.796,0.02,0.02,0.718,0.576,1.987,2.023,,normal
ZTF18abvtcyi_20180910_NTT_0.ascii,ZTF18abvtcyi,-2.61787493733403,,,,,,,,,,9.166,99aa-like
ZTF18abvtiko_20180829_MDM-2.4_0.ascii,ZTF18abvtiko,-1.05682044314162,-1.132,9.07,69.725,0.02,0.021,0.414,0.631,2.097,3.398,,normal
ZTF18abwbtco_20180919_SEDm_0.ascii,ZTF18abwbtco,-4.84267523758833,,,,,,,,,,19.567,normal
ZTF18abxbugc_20180928_SEDm_0.ascii,ZTF18abxbugc,0.812497233127628,-1.026,25.232,95.799,0.02,0.02,1.221,1.264,2.346,2.872,,normal
ZTF18abyxwrf_20181012_SEDm_0.ascii,ZTF18abyxwrf,1.01683187899492,-1.244,5.594,105.749,0.02,0.024,0.372,0.17,5.64,5.88,,normal
ZTF18acatuts_20181015_LT_0.ascii,ZTF18acatuts,-2.55033731299125,-0.961,16.409,117.766,0.025,0.022,1.555,0.639,6.688,2.865,,normal
ZTF18acbwppb_20181110_SEDm_0.ascii,ZTF18acbwppb,-3.77091689793395,,,,,,,,,,8.19,99aa-like
ZTF18acbwtmf_20181114_SEDm_0.ascii,ZTF18acbwtmf,4.46262328337732,,,,,,,,,,12.634,SN Ia
ZTF18acbxsge_20181116_APO_0.ascii,ZTF18acbxsge,-2.46112709598374,,,,,,,,,,9.079,99aa-like
ZTF18acbznvp_20181107_SEDm_0.ascii,ZTF18acbznvp,0.726945769525058,-1.077,21.192,103.669,0.025,0.022,1.23,1.423,3.647,4.29,,normal
ZTF18acehilk_20181117_SEDm_0.ascii,ZTF18acehilk,-0.681480550629932,,,,,,,,,,9.5,normal
ZTF18acemhyb_20181115_SEDm_0.ascii,ZTF18acemhyb,1.06312669147895,-1.091,31.125,133.068,0.021,0.022,0.888,1.81,2.806,5.323,,04gs-like
ZTF18aceynvm_20181121_SEDm_0.ascii,ZTF18aceynvm,-1.87294668750974,-1.229,4.851,56.983,0.021,0.022,0.303,0.479,3.012,5.434,,normal
ZTF18acfwmqj_20181119_SEDm_0.ascii,ZTF18acfwmqj,-1.18889536580976,,,,,,,,,,9.494,SN Ia
