Unnamed: 0,Dereddened File Name,ztfname,Phase of spectrum,z,wl_x1_Ti,wl_x2_Ti,integral,SNR
19,ZTF19aavrswr_20190603_SEDm_0_dereddened.csv,ZTF19aavrswr,-8.495970730000408,0.03276714,4096.984241366012,4545.634475877202,415.7968521369871,12.33512201661579
20,ZTF19abbytxa_20190629_SNIFS_0_dereddened.csv,ZTF19abbytxa,-5.61972231999971,0.05063173,4171.366632274323,4473.705834012069,289.6440616144736,5.025369605243793
21,ZTF19abdrwsz_20190711_SEDm_0_dereddened.csv,ZTF19abdrwsz,-7.649118690002069,0.02615929,3931.769453067297,4465.884726533649,497.0903841978418,11.69815896506604
22,ZTF19abetjcx_20190708_SEDm_0_dereddened.csv,ZTF19abetjcx,-5.898953459996847,0.05713162,3908.293207270725,4488.92396683865,552.2613681442227,11.66823388378055
23,ZTF19abpbmli_20190816_SEDm_0_dereddened.csv,ZTF19abpbmli,-5.036402990001079,0.0370363,4055.826844551648,4546.68139019758,459.9620527513527,5.77811734273234
24,ZTF19abrogbl_20190828_SEDm_0_dereddened.csv,ZTF19abrogbl,-7.251934129999427,0.035788,4084.570036563716,4496.225649052359,389.1409460071408,4.541153639196052
25,ZTF19abzlsbl_20190921_SEDm_0_dereddened.csv,ZTF19abzlsbl,-5.63650133000192,0.03402776,3867.752004190905,4535.634999187156,634.0682718329837,10.491774346014758
26,ZTF19aclofmz_20191105_SEDm_0_dereddened.csv,ZTF19aclofmz,-8.853881110000657,0.030792,4104.201570405369,4462.520942243222,341.36366255809287,8.674394573719718
27,ZTF19acoxgqw_20191109_SEDm_0_dereddened.csv,ZTF19acoxgqw,-7.69077457000094,0.0322677,4178.004766561757,4363.524524108582,162.68319952214762,4.225063907104291
28,ZTF19acqehbt_20191112_SEDm_0_dereddened.csv,ZTF19acqehbt,-11.000000660002115,0.05522577,4087.5537684048895,4515.168834036922,403.4357390076532,5.077583366900215
29,ZTF19acynije_20191220_LT_0_dereddened.csv,ZTF19acynije,-7.475000869999349,0.01908516,4174.494401587881,4468.102062878789,275.00458370961144,6.044877284201669
30,ZTF19adcdgca_20200102_SEDm_0_dereddened.csv,ZTF19adcdgca,-5.932117559998005,0.04677729,4084.161415796477,4491.857301667723,386.1430151640865,12.227519628430764
31,ZTF20aaaxacu_20200102_LT_0_dereddened.csv,ZTF20aaaxacu,-10.700374849999209,0.02208516,4197.701110235371,4460.115224313882,249.456352094643,4.375706466078666
32,ZTF20aacevxq_20200107_SEDm_0_dereddened.csv,ZTF20aacevxq,-9.309836410000573,0.02082774,4148.638032598096,4414.861970287291,245.04843900322248,5.044599267869248
33,ZTF20aahqbib_20200128_SEDm_0_dereddened.csv,ZTF20aahqbib,-6.434718359996623,0.05558274,4110.93951935451,4505.742648047931,357.35988508263125,7.549770470051147
34,ZTF20aamkyyx_20200214_SEDm_0_dereddened.csv,ZTF20aamkyyx,-5.0016893400024856,0.04968179,4086.970712299115,4488.465675946084,357.85258594074065,7.789235979583897
35,ZTF20aammhli_20200213_Lick-3m_0_dereddened.csv,ZTF20aammhli,-7.721517860001768,0.02427873,3868.620465306794,4513.163957798681,641.4412903324335,8.486072507759092
36,ZTF20aaodkvl_20200217_SEDm_0_dereddened.csv,ZTF20aaodkvl,-9.550110680000216,0.0251175,4108.409002602928,4447.662180857788,293.0380493846217,6.817338936057067
37,ZTF20aapcmur_20200225_SEDm_0_dereddened.csv,ZTF20aapcmur,-6.192592369996419,0.04221969,4070.436783923012,4505.986844286129,386.6859073449127,13.97619990921582
38,ZTF20aatvzmm_20200331_SEDm_0_dereddened.csv,ZTF20aatvzmm,-6.795530529998359,0.03151248,4096.911617495142,4490.05419410609,366.20513273157496,15.235046960319211
39,ZTF20aaumsrr_20200409_Other_0_dereddened.csv,ZTF20aaumsrr,-6.546653819998028,0.00733461,4086.302797417261,4463.935370456207,368.0749296249289,5.231256056154826
40,ZTF20aaurhzc_20200417_SEDm_0_dereddened.csv,ZTF20aaurhzc,-6.388502929999959,0.03326635,4127.353974423424,4542.218478386058,365.14309554961204,8.883967198791973
41,ZTF20aavnnat_20200424_SEDm_0_dereddened.csv,ZTF20aavnnat,-11.270786209999642,0.03219172,3907.064240418187,4426.422747582391,469.5078067805607,5.391481765149115
42,ZTF20aavrloz_20200425_SEDm_0_dereddened.csv,ZTF20aavrloz,-10.383502670003509,0.04337762,4091.3595956754375,4419.6425804636665,290.8480017000782,6.397159459581363
43,ZTF20aaymbjk_20200509_SEDm_0_dereddened.csv,ZTF20aaymbjk,-6.811501479998697,0.02766247,4145.00482269634,4469.507942795089,291.62452421351657,6.159694659782511
44,ZTF20aazgtmp_20200516_SEDm_0_dereddened.csv,ZTF20aazgtmp,-8.144827570002235,0.02370821,4097.626012419483,4497.129047168753,370.26158714129485,9.345905566883625
45,ZTF20aazhzna_20200516_SEDm_0_dereddened.csv,ZTF20aazhzna,-6.909999089999474,0.03656528,4180.91246817162,4541.42634661721,337.95708151438816,5.17725824254434
