,ztfname,filename,redshift,phase,v_x1,v_x2,V_Sil_5972_mean,V_err_Sil_5972_mean,V_Sil_5972_median,V_err_Sil_5972_median,V_lower_err_Sil_5972_median,V_higher_err_Sil_5972_median,pEW_Sil_5972_mean,pEW_err_Sil_5972_mean,pEW_Sil_5972_median,pEW_err_Sil_5972_median,pEW_lower_err_Sil_5972_median,pEW_higher_err_Sil_5972_median,pEW_Sil_5972_median_trap,pEW_Sil_5972_median_trap_err,pEW_lower_trap_err_Sil_5972_median,pEW_higher_trap_err_Sil_5972_median,FWHMv_Sil_5972_mean,FWHMv_err_Sil_5972_mean,FWHMv_Sil_5972_median,FWHMv_err_Sil_5972_median,FWHMA_Sil_5972_mean,FWHMA_err_Sil_5972_mean,FWHMA_Sil_5972_median,FWHMA_err_Sil_5972_median,FWHMA_lower_err_Sil_5972_median,FWHMA_higher_err_Sil_5972_median,V_Sil_err_low_5972_final,V_Sil_err_high_5972_final,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final
19,ZTF18achbllm,ZTF18achbllm_20181113_SEDm_0_dereddened.csv,0.04710716,-8.466060020000441,-14294.354838709674,-6532.2580645161215,-1.1669759098041732,0.018494186985257392,-1.167256594756398,0.018494186985257392,0.0013360048585293123,0.0038769793747761654,13.247289033295019,4.238827259951765,13.927518302888677,4.238827259951765,4.21693155033895,0.11936507252429511,13.618763137999462,6.407397491087804,1.572263684889478,0.12091392426664725,0.1662325267251636,0.06476797701957362,0.17451314926663697,0.06476797701957362,31.820226493891404,5.006069136473939,33.405585313154006,5.006069136473939,10.01289676457901,0.4156138047963183,0.0385423801392291,0.0388961880102338,6.597481011993936,6.408538272170952,11.194589309897605,5.023292051423469
20,ZTF18achbllm,ZTF18achbllm_20181115_SEDm_0_dereddened.csv,0.04710716,-6.466060020000441,-21068.54838709677,-5826.612903225803,-1.1778459865897486,0.04137048083149252,-1.1854871113299819,0.04137048083149252,0.0021971468509172755,0.011009153751963817,30.265488213400097,4.98682707343203,29.733009603724007,4.98682707343203,1.7753892111468428,2.714112758482395,28.661535039390337,5.105028503455688,1.6398590630800696,2.425568413727198,0.6042205760246193,0.10613702613588424,0.6078286005832196,0.10613702613588424,115.62524116067084,11.19311580062835,116.2843700456906,11.19311580062835,8.850125728210744,7.287074890221014,0.0614287839371781,0.06281025753909067,5.36194496128605,5.651964096733638,14.26921745336491,13.356170925155368
21,ZTF18acsyzca,ZTF18acsyzca_20181206_LCO-FLOYDS_0_dereddened.csv,0.01424367,-9.989981350001472,-19939.51612903225,-5826.612903225803,-1.236386324305227,0.005061217829649901,-1.2361491147091286,0.005061217829649901,0.004598480450027377,0.003187188609369577,24.644504131855058,0.4375355524308765,24.72926339511816,0.4375355524308765,1.0230929986069186,0.6842753455852779,24.284064134867684,0.5511967984998615,1.0257059294201127,0.5918400602153129,0.6537404732529908,0.012933385640767339,0.6561347747902884,0.012933385640767339,124.88069546807284,1.366962242219859,125.33812536326877,1.366962242219859,2.714109155492856,1.8006831542234565,0.026838270861003537,0.025981145137083803,1.1644271399808896,0.8087598948712541,3.038910047958789,2.260762170941225
22,ZTF18acvrfvv,ZTF18acvrfvv_20181219_SEDm_0_dereddened.csv,0.04133705,-6.464255829996546,-18528.225806451606,-5262.096774193546,-1.1029709096453608,0.02624734185748534,-1.1003563063496888,0.02624734185748534,0.006935473730021117,0.0027847959264352402,13.414207010255716,1.511258195159464,14.35225551922813,1.511258195159464,0.9650007757194565,0.4850154391119071,13.673022523183691,1.7324154482768699,0.9602443112602582,0.39641482794056276,0.554717939553252,0.0663399110938368,0.5751361974567761,0.0663399110938368,106.40072929345229,7.120110477581243,110.35142047746103,7.120110477581243,6.057608891112805,3.506180686935515,0.04714818134688795,0.04639465936388633,1.9807403723698964,1.7771910424148254,9.348293891970402,7.936578369952747
23,ZTF19aaafica,ZTF19aaafica_20190102_LT_0_dereddened.csv,0.02306328,-5.081311219997588,-11048.38709677419,-8649.193548387091,-0.9604766514908198,0.03802719337051812,-1.1119145149256544,0.03802719337051812,0.0024812172789328724,0.4797496577928695,4.404135175842269,8.937626939623376,4.727972891196124,8.937626939623376,0.5739325629065644,1.5743786840882894,2.733471578113617,7.143811146803862,0.7451580620613992,0.8228035007277986,0.05669438512168853,0.15872133953622802,0.06253502098535924,0.15872133953622802,10.873067848413626,10.310780039891714,12.0041220190069,10.310780039891714,4.71211726273115,1.401497877297013,0.058108055248517365,0.5012544042271344,7.1825690556133335,7.191039097516369,11.336500082863243,10.405593751972898
24,ZTF19aaddzpk,ZTF19aaddzpk_20190114_NTT_0_dereddened.csv,0.05369276,-7.895578869996825,-12883.064516129023,-6814.51612903225,-1.0780186138840002,0.027888224064787283,-1.076805354891615,0.027888224064787283,0.009613757837547423,0.00634246164525502,8.180162893843418,1.483377661948508,8.255689577539812,1.483377661948508,0.5067505111404266,0.7600321249062586,7.696629447446155,1.3202815142516442,0.7617817989656792,0.6440245025545752,0.35532246611958657,0.08743043228276393,0.35008007294185006,0.08743043228276393,68.20591713539986,7.566468181639732,67.19720234661372,7.566468181639732,2.713323976734472,3.736064937583749,0.04949876914799641,0.048600347221831264,1.5242882883857636,1.4689829259611162,8.03825651161299,8.438579380536106
25,ZTF19aakizps,ZTF19aakizps_20190209_NTT_0_dereddened.csv,0.05514175,-6.790099480000208,-16129.032258064508,-5685.483870967735,-1.1473688444992254,0.01072620106437272,-1.1471962599057752,0.01072620106437272,0.0027247481548860752,0.0022340299938572806,35.5097666490728,1.6791451786503488,35.57612277929084,1.6791451786503488,0.6084105448157949,0.8069541693137627,34.547394145369836,1.9754276222649012,0.8296996316579771,0.6923792726386607,0.5251392181134256,0.029293990696571192,0.5250803500160919,0.029293990696571192,100.58793197656361,2.9058228931660417,100.58650647583909,2.9058228931660417,1.2601939102390933,1.067919555155777,0.03106687136371005,0.030956380756746477,2.1425955683657483,2.0932518596640017,3.167316747319655,3.0958454197088034
26,ZTF19aaklqod,ZTF19aaklqod_20200214_SEDm_0_dereddened.csv,0.02995515,-11.328497299997252,-11048.38709677419,-4556.45161290322,-0.8194885005209448,0.006350862237768299,-0.8642985309973881,0.006350862237768299,0.0030572351158408796,0.2634162064107915,12.875688963648933,2.288703023917383,12.256906533462729,2.288703023917383,5.839511325952312,1.8628723479786258,11.905305815172996,3.0844605403521883,3.791055819716891,1.8264315518244012,0.14536974506250883,0.02262995965180967,0.13036854028004652,0.02262995965180967,28.086780177563135,1.7355362893612392,25.191831321799327,1.7355362893612392,9.974008207239303,6.21981739293613,0.027048413844024906,0.2834927536973566,4.887330667470641,3.584654660980525,10.12387899620332,6.457415474720562
27,ZTF19aaklqod,ZTF19aaklqod_20200219_Lick-3m_0_dereddened.csv,0.02995515,-6.328497299997252,-11895.161290322576,-7943.548387096765,-0.9849106378891037,0.06321881544530544,-1.0013741065944428,0.06321881544530544,0.003949797276647114,0.0931020048984058,1.5445082391190659,0.39017351911940407,1.5456645800152937,0.39017351911940407,0.20302902311692686,0.2456556781304344,1.4092148132615083,0.24586143498788285,0.2830891890811232,0.1752159891503956,0.1727180510155999,0.1393269336679179,0.1508887197362052,0.1393269336679179,33.25680756784492,17.22389286167058,29.05450680456579,17.22389286167058,2.7018125675619284,14.931189779875675,0.08334208336354433,0.13253711362217518,0.3749497755552187,0.30190807883899445,17.434513943914308,22.794800142860886
28,ZTF19aanhgqg,ZTF19aanhgqg_20190325_SEDm_0_dereddened.csv,0.02786203,-8.146012270000938,-12883.064516129023,-5967.741935483864,-0.9690444299500595,0.03144833809741598,-0.9728962403609396,0.03144833809741598,0.003962785899956304,0.007560201883748005,14.727701525677494,3.8860925712711647,14.05594378388297,3.8860925712711647,0.41266925473484284,2.1599089657069332,12.606977696356722,4.331742274784968,0.6875308559066697,1.9774750365192824,0.327935695590952,0.08513808325587986,0.32725465063872816,0.08513808325587986,63.16244766418987,8.564850437093853,62.998819433963945,8.564850437093853,1.995522734483365,4.7633502597151205,0.051697028901432976,0.05234431359006421,4.38596509482041,4.76176423767664,8.794246641618981,9.800314724870567
